[2025-03-06 14:17:19,257][inference.model_runners][INFO] - Reading checkpoint from RFDiffusionAA_paper_weights.pt
[2025-03-06 14:17:45,438][inference.model_runners][INFO] - Loading checkpoint.
[2025-03-06 14:17:45,810][diffusion][INFO] - No IGSO3 cache found at /home/freitas/workspace/Ribbon-Containers/containers/RFDiffusionAA/25.3.2/rf_diffusion_all_atom/cached_schedules/T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2025-03-06 14:17:45,810][diffusion][INFO] - Calculating IGSO3.
[2025-03-06 14:18:55,956][__main__][INFO] - Making design samples/design_0
[2025-03-06 14:18:55,956][__main__][INFO] - making design 0 of 0:1
[2025-03-06 14:18:55,956][inference.model_runners][INFO] - Using contig: ['150-150']
[2025-03-06 14:22:33,615][inference.model_runners][INFO] - 14:22:33: Timestep 117, current sequence: ??????????????????????????????????????S?E?????????L??????????????????????????????????????????????????????????????????????????????????????????????Q????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:35,372][inference.model_runners][INFO] - 14:22:35: Timestep 116, current sequence: ??????????????????????????????????????T?E?????????LA?????????????????????????????????????????????????????????????????????????????????????????????Q????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:37,148][inference.model_runners][INFO] - 14:22:37: Timestep 115, current sequence: ????????????????????????????????????????G?????????L????????????????????????????Q??????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:38,891][inference.model_runners][INFO] - 14:22:38: Timestep 114, current sequence: ??????????????????????????????????????S?G?????????L????????????????????????????Q??????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:40,666][inference.model_runners][INFO] - 14:22:40: Timestep 113, current sequence: ????????????????????????????????????????G??????????????????????????????????????G??????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:42,413][inference.model_runners][INFO] - 14:22:42: Timestep 112, current sequence: ??????????????????????????????????????G?G?????????L????????????????????????????G??????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:44,190][inference.model_runners][INFO] - 14:22:44: Timestep 111, current sequence: ??????????????????????????????????????Q?E?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:45,965][inference.model_runners][INFO] - 14:22:45: Timestep 110, current sequence: ??????????????????????????????????????Q?E?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:47,715][inference.model_runners][INFO] - 14:22:47: Timestep 109, current sequence: ??????????????????????????????????????Q?E?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:49,470][inference.model_runners][INFO] - 14:22:49: Timestep 108, current sequence: ????????????????????????????????????Q?Q?E?????????????????????????????????????Q????????????????????????????????????Q??????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:51,243][inference.model_runners][INFO] - 14:22:51: Timestep 107, current sequence: ????????????????????????????????????Q?S?E??????????????????????????????????????Q???????????????????????????????????Q??????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
